date,workload,energy_kwh,baseline_region,baseline_carbon_g,carbon_aware_region,carbon_aware_carbon_g,carbon_saving_g,carbon_saving_pct
2020-03-30,183610.0,91.805,west_europe,22951.25,north_europe,9180.5,13770.75,60.0
2020-03-31,211825.0,105.9125,west_europe,26478.125000000004,north_europe,10591.25,15886.875000000004,60.00000000000001
2020-04-01,222554.0,111.277,west_europe,27819.25,north_europe,11127.7,16691.55,60.0
2020-04-02,246822.0,123.411,west_europe,30852.75,north_europe,12341.1,18511.65,60.00000000000001
2020-04-03,251742.0,125.871,west_europe,31467.750000000004,north_europe,12587.1,18880.65,60.0
2020-04-04,260645.0,130.3225,west_europe,32580.625,north_europe,13032.25,19548.375,60.0
2020-04-05,231906.0,115.953,west_europe,28988.25,north_europe,11595.3,17392.95,60.0
2020-04-06,225816.0,112.908,west_europe,28227.0,north_europe,11290.8,16936.2,60.0
2020-04-07,247459.0,123.7295,west_europe,30932.375,north_europe,12372.95,18559.425,60.0
2020-04-08,280184.0,140.092,west_europe,35023.0,north_europe,14009.2,21013.8,60.0
2020-04-09,259128.0,129.564,west_europe,32391.0,north_europe,12956.4,19434.6,60.0
2020-04-10,281000.0,140.5,west_europe,35125.0,north_europe,14050.0,21075.0,60.0
2020-04-11,242895.0,121.4475,west_europe,30361.875,north_europe,12144.75,18217.125,60.0
2020-04-12,281484.0,140.742,west_europe,35185.5,north_europe,14074.2,21111.3,60.0
2020-04-13,202393.0,101.1965,west_europe,25299.125,north_europe,10119.65,15179.475,60.0
2020-04-14,244804.0,122.402,west_europe,30600.5,north_europe,12240.2,18360.3,60.0
2020-04-15,258095.0,129.0475,west_europe,32261.875000000004,north_europe,12904.750000000002,19357.125,60.0
2020-04-16,273750.0,136.875,west_europe,34218.75,north_europe,13687.5,20531.25,60.0
2020-04-17,254750.0,127.375,west_europe,31843.75,north_europe,12737.5,19106.25,60.0
2020-04-18,242510.0,121.255,west_europe,30313.75,north_europe,12125.5,18188.25,60.0
2020-04-19,232831.0,116.4155,west_europe,29103.875000000004,north_europe,11641.55,17462.325000000004,60.00000000000001
2020-04-20,256183.0,128.0915,west_europe,32022.875,north_europe,12809.15,19213.725,60.0
2020-04-21,233277.0,116.6385,west_europe,29159.625000000004,north_europe,11663.85,17495.775,60.0
2020-04-22,250138.0,125.069,west_europe,31267.25,north_europe,12506.9,18760.35,60.0
2020-04-23,284455.0,142.2275,west_europe,35556.875,north_europe,14222.75,21334.125,60.0
2020-04-24,274863.0,137.4315,west_europe,34357.875,north_europe,13743.15,20614.725,60.0
2020-04-25,252582.0,126.291,west_europe,31572.75,north_europe,12629.1,18943.65,60.00000000000001
2020-04-26,177416.0,88.708,west_europe,22177.0,north_europe,8870.8,13306.2,60.0
2020-04-27,228647.0,114.3235,west_europe,28580.875,north_europe,11432.35,17148.525,60.00000000000001
2020-04-28,254641.0,127.3205,west_europe,31830.125,north_europe,12732.05,19098.075,60.0
2020-04-29,248669.0,124.3345,west_europe,31083.625,north_europe,12433.45,18650.175,60.0
2020-04-30,243476.0,121.738,west_europe,30434.5,north_europe,12173.8,18260.7,60.0
2020-05-01,301734.0,150.867,west_europe,37716.75,north_europe,15086.7,22630.05,60.0
2020-05-02,256343.0,128.1715,west_europe,32042.875000000004,north_europe,12817.15,19225.725000000006,60.00000000000001
2020-05-03,235263.0,117.6315,west_europe,29407.875,north_europe,11763.15,17644.725,60.0
2020-05-04,242226.0,121.113,west_europe,30278.25,north_europe,12111.3,18166.95,60.0
2020-05-05,259654.0,129.827,west_europe,32456.75,north_europe,12982.7,19474.05,60.0
2020-05-06,280015.0,140.0075,west_europe,35001.875,north_europe,14000.75,21001.125,60.0
2020-05-07,288893.0,144.4465,west_europe,36111.625,north_europe,14444.65,21666.975,60.0
2020-05-08,275041.0,137.5205,west_europe,34380.125,north_europe,13752.05,20628.075,60.0
2020-05-09,245626.0,122.813,west_europe,30703.25,north_europe,12281.3,18421.95,60.0
2020-05-10,220805.0,110.4025,west_europe,27600.625,north_europe,11040.25,16560.375,60.0
2020-05-11,226551.0,113.2755,west_europe,28318.875000000004,north_europe,11327.55,16991.325000000004,60.00000000000001
2020-05-12,273406.0,136.703,west_europe,34175.75,north_europe,13670.3,20505.45,60.0
2020-05-13,286617.0,143.3085,west_europe,35827.125,north_europe,14330.85,21496.275,60.00000000000001
2020-05-14,304045.0,152.0225,west_europe,38005.625,north_europe,15202.25,22803.375,60.0
2020-05-15,289872.0,144.936,west_europe,36234.0,north_europe,14493.6,21740.4,60.00000000000001
2020-05-16,258136.0,129.068,west_europe,32267.000000000004,north_europe,12906.8,19360.200000000004,60.00000000000001
2020-05-17,243620.0,121.81,west_europe,30452.5,north_europe,12181.0,18271.5,60.0
2020-05-18,282095.0,141.0475,west_europe,35261.875,north_europe,14104.750000000002,21157.125,60.0
2020-05-19,281385.0,140.6925,west_europe,35173.125,north_europe,14069.25,21103.875,60.0
2020-05-20,315130.0,157.565,west_europe,39391.25,north_europe,15756.5,23634.75,60.0
2020-05-21,314757.0,157.3785,west_europe,39344.625,north_europe,15737.85,23606.775,60.00000000000001
2020-05-22,306025.0,153.01250000000002,west_europe,38253.12500000001,north_europe,15301.250000000002,22951.875000000007,60.00000000000001
2020-05-23,299097.0,149.5485,west_europe,37387.125,north_europe,14954.85,22432.275,60.00000000000001
2020-05-24,268733.0,134.3665,west_europe,33591.625,north_europe,13436.65,20154.975,60.0
2020-05-25,270774.0,135.387,west_europe,33846.75,north_europe,13538.7,20308.05,60.0
2020-05-26,321536.0,160.768,west_europe,40192.0,north_europe,16076.8,24115.2,60.0
2020-05-27,341706.0,170.853,west_europe,42713.25,north_europe,17085.3,25627.95,60.0
2020-05-28,355826.0,177.913,west_europe,44478.25,north_europe,17791.300000000003,26686.949999999997,60.0
2020-05-29,373984.0,186.992,west_europe,46748.0,north_europe,18699.2,28048.8,60.0
2020-05-30,309754.0,154.877,west_europe,38719.25,north_europe,15487.7,23231.55,60.0
2020-05-31,304349.0,152.1745,west_europe,38043.625,north_europe,15217.45,22826.175,60.0
2020-06-01,288478.0,144.239,west_europe,36059.75,north_europe,14423.9,21635.85,60.0
2020-06-02,346785.0,173.3925,west_europe,43348.125,north_europe,17339.25,26008.875,60.0
2020-06-03,360485.0,180.2425,west_europe,45060.625,north_europe,18024.25,27036.375,60.0
2020-06-04,393922.0,196.961,west_europe,49240.25,north_europe,19696.1,29544.15,60.0
2020-06-05,385490.0,192.745,west_europe,48186.25,north_europe,19274.5,28911.75,60.0
2020-06-06,358363.0,179.1815,west_europe,44795.375,north_europe,17918.15,26877.225,60.0
2020-06-07,326479.0,163.2395,west_europe,40809.875,north_europe,16323.95,24485.925,60.0
2020-06-08,324279.0,162.1395,west_europe,40534.875,north_europe,16213.95,24320.925,60.0
2020-06-09,417073.0,208.5365,west_europe,52134.12500000001,north_europe,20853.65,31280.475000000006,60.0
2020-06-10,356194.0,178.097,west_europe,44524.25,north_europe,17809.7,26714.55,60.0
2020-06-11,477726.0,238.863,west_europe,59715.75,north_europe,23886.3,35829.45,60.0
2020-06-12,367595.0,183.7975,west_europe,45949.375,north_europe,18379.75,27569.625,60.0
2020-06-13,363404.0,181.702,west_europe,45425.5,north_europe,18170.2,27255.3,60.0
2020-06-14,369196.0,184.598,west_europe,46149.5,north_europe,18459.800000000003,27689.699999999997,60.0
2020-06-15,383058.0,191.529,west_europe,47882.25,north_europe,19152.9,28729.35,60.0
2020-06-16,481310.0,240.655,west_europe,60163.75,north_europe,24065.5,36098.25,60.0
2020-06-17,448287.0,224.1435,west_europe,56035.87500000001,north_europe,22414.35,33621.52500000001,60.00000000000001
2020-06-18,451391.0,225.6955,west_europe,56423.875,north_europe,22569.55,33854.325,60.0
2020-06-19,525083.0,262.5415,west_europe,65635.375,north_europe,26254.15,39381.225,60.0
2020-06-20,390117.0,195.0585,west_europe,48764.625,north_europe,19505.85,29258.775,60.0
2020-06-21,515983.0,257.99150000000003,west_europe,64497.87500000001,north_europe,25799.15,38698.725000000006,60.0
2020-06-22,432910.0,216.455,west_europe,54113.75,north_europe,21645.5,32468.25,60.0
2020-06-23,421126.0,210.563,west_europe,52640.75000000001,north_europe,21056.300000000003,31584.450000000004,60.0
2020-06-24,607283.0,303.6415,west_europe,75910.375,north_europe,30364.15,45546.225,60.0
2020-06-25,520471.0,260.2355,west_europe,65058.875,north_europe,26023.55,39035.325,60.0
2020-06-26,602911.0,301.45550000000003,west_europe,75363.875,north_europe,30145.550000000003,45218.325,60.0
2020-06-27,492005.0,246.0025,west_europe,61500.625,north_europe,24600.25,36900.375,60.0
2020-06-28,496757.0,248.3785,west_europe,62094.625,north_europe,24837.85,37256.775,60.0
2020-06-29,492693.0,246.3465,west_europe,61586.625,north_europe,24634.65,36951.975,60.0
2020-06-30,512645.0,256.3225,west_europe,64080.625,north_europe,25632.25,38448.375,60.0
2020-07-01,509030.0,254.515,west_europe,63628.75000000001,north_europe,25451.5,38177.25000000001,60.00000000000001
2020-07-02,577765.0,288.8825,west_europe,72220.625,north_europe,28888.25,43332.375,60.0
2020-07-03,640618.0,320.309,west_europe,80077.25,north_europe,32030.9,48046.35,60.0
2020-07-04,547787.0,273.8935,west_europe,68473.375,north_europe,27389.35,41084.025,60.0
2020-07-05,521819.0,260.9095,west_europe,65227.37499999999,north_europe,26090.95,39136.42499999999,59.999999999999986
2020-07-06,580802.0,290.401,west_europe,72600.25,north_europe,29040.1,43560.15,60.0
2020-07-07,665060.0,332.53000000000003,west_europe,83132.50000000001,north_europe,33253.0,49879.500000000015,60.00000000000001
